timestamp,BTC,ETH,SOL,DOGE,LINK,AXS
2021-01-10 20:00:00,37718.88,1258.34,3.31,0.0099664,16.4467,0.56301
2021-01-10 21:00:00,38055.3,1270.6,3.4684,0.0098543,16.643,0.57126
2021-01-10 22:00:00,38428.23,1273.08,3.4198,0.0099503,16.3339,0.57349
2021-01-10 23:00:00,38150.02,1254.25,3.449,0.00982,16.206,0.57292
2021-01-11 00:00:00,37192.1,1218.8,3.4276,0.0096227,15.9663,0.55119
2021-01-11 01:00:00,37237.66,1208.03,3.3583,0.0095276,15.6672,0.54622
2021-01-11 02:00:00,36363.94,1186.11,3.3882,0.0094222,15.2012,0.5414
2021-01-11 03:00:00,35438.23,1104.14,3.1376,0.0090931,14.8042,0.50396
2021-01-11 04:00:00,35544.0,1114.1,3.1367,0.0089973,14.8629,0.52242
2021-01-11 05:00:00,34904.73,1094.18,3.1326,0.0088874,14.6134,0.5099
2021-01-11 06:00:00,32872.63,1027.73,2.9457,0.0081466,13.9675,0.48729
2021-01-11 07:00:00,34375.34,1071.84,2.9946,0.0086895,14.4693,0.51887
2021-01-11 08:00:00,35430.0,1108.69,3.0853,0.0091716,14.7486,0.52088
2021-01-11 09:00:00,35765.98,1135.07,3.1313,0.0092264,15.0082,0.5287
2021-01-11 10:00:00,35367.6,1112.08,3.0363,0.008993,14.7629,0.52336
2021-01-11 11:00:00,34198.56,1067.87,2.8589,0.0088738,14.1836,0.51133
2021-01-11 12:00:00,34275.64,1073.66,2.9432,0.0089374,14.2321,0.50547
2021-01-11 13:00:00,32813.71,1026.09,2.8005,0.0083026,13.8397,0.49226
2021-01-11 14:00:00,33299.12,1038.53,2.8293,0.0081759,14.2,0.48875
2021-01-11 15:00:00,31580.0,977.21,2.7598,0.0074671,13.4178,0.45257
2021-01-11 16:00:00,31777.19,963.55,2.6723,0.0071862,13.2423,0.43535
2021-01-11 17:00:00,32839.87,998.3,2.7919,0.007848,13.5098,0.46183
2021-01-11 18:00:00,32562.1,993.51,2.8545,0.0079483,13.5357,0.46307
2021-01-11 19:00:00,32254.62,984.41,2.8578,0.007675,13.5561,0.45752
2021-01-11 20:00:00,33409.8,1019.94,2.9487,0.0077,13.8846,0.47088
2021-01-11 21:00:00,33968.09,1031.55,3.0102,0.0079017,13.8901,0.48266
2021-01-11 22:00:00,34359.07,1057.87,3.0355,0.0082186,14.0186,0.49479
2021-01-11 23:00:00,35404.47,1087.01,3.1016,0.0088326,14.6393,0.49958
2021-01-12 00:00:00,34929.98,1061.88,3.1076,0.00846,14.3552,0.48986
2021-01-12 01:00:00,34289.3,1055.12,3.1206,0.0082866,14.095,0.48714
2021-01-12 02:00:00,34399.99,1069.27,3.21,0.008409,14.3431,0.49484
2021-01-12 03:00:00,34984.96,1088.52,3.2708,0.008571,14.6071,0.49928
2021-01-12 04:00:00,35287.67,1095.87,3.4042,0.0086995,14.7523,0.49975
2021-01-12 05:00:00,35882.68,1129.61,3.495,0.0088017,15.1883,0.50909
2021-01-12 06:00:00,35993.93,1137.94,3.3906,0.0089163,15.2691,0.50772
2021-01-12 07:00:00,36413.6,1139.05,3.3824,0.0089377,15.2186,0.50983
2021-01-12 08:00:00,35773.24,1116.8,3.3577,0.0087104,14.9,0.49658
2021-01-12 09:00:00,35925.76,1114.94,3.3857,0.0087123,15.0409,0.50001
2021-01-12 10:00:00,35085.77,1084.5,3.3563,0.0083837,14.6406,0.47659
2021-01-12 11:00:00,35410.99,1099.16,3.4185,0.0084568,14.9008,0.47976
2021-01-12 12:00:00,35014.75,1086.87,3.3735,0.0084659,14.8015,0.4728
2021-01-12 13:00:00,33291.06,1025.71,3.1866,0.0080281,14.0774,0.45262
2021-01-12 14:00:00,33426.47,1035.91,3.2309,0.0080648,14.0495,0.4608
2021-01-12 15:00:00,33829.4,1053.34,3.3039,0.0081686,14.2716,0.46493
2021-01-12 16:00:00,34998.9,1106.77,3.4483,0.0084479,14.7512,0.47512
2021-01-12 17:00:00,35012.53,1117.67,3.4236,0.0083623,14.6673,0.479
2021-01-12 18:00:00,35040.78,1104.33,3.7671,0.0083451,14.5343,0.47
2021-01-12 19:00:00,34685.11,1082.76,3.6777,0.0080495,14.2613,0.46536
2021-01-12 20:00:00,34287.95,1080.61,3.61,0.0081268,14.3405,0.46583
2021-01-12 21:00:00,34719.03,1078.07,3.5712,0.0082,14.3311,0.46224
2021-01-12 22:00:00,33743.18,1052.49,3.4966,0.0079554,13.8795,0.45404
2021-01-12 23:00:00,34051.24,1050.16,3.6354,0.0080807,13.9655,0.44957
2021-01-13 00:00:00,32526.5,991.32,3.4526,0.0077843,13.4033,0.4372
2021-01-13 01:00:00,33124.06,1031.12,3.5302,0.0079575,13.7713,0.44907
2021-01-13 02:00:00,33035.21,1030.83,3.5216,0.0078775,14.046,0.44981
2021-01-13 03:00:00,33818.5,1046.72,3.5128,0.0079275,13.9168,0.45948
2021-01-13 04:00:00,33183.88,1023.68,3.351,0.0078552,13.7301,0.45348
2021-01-13 05:00:00,33321.75,1036.24,3.3168,0.0079,13.9582,0.45405
2021-01-13 06:00:00,33780.68,1044.37,3.3732,0.0080417,13.9715,0.45868
2021-01-13 07:00:00,34986.9,1076.35,3.4868,0.0083126,14.4424,0.47386
2021-01-13 08:00:00,34519.19,1059.75,3.3597,0.0081664,14.2654,0.47506
2021-01-13 09:00:00,34343.62,1060.2,3.3154,0.0081074,14.3914,0.47656
2021-01-13 10:00:00,34923.0,1079.61,3.3695,0.0082,14.636,0.48434
2021-01-13 11:00:00,34385.48,1061.6,3.3708,0.008147,14.5988,0.47949
2021-01-13 12:00:00,34266.52,1057.59,3.3868,0.008146,14.9549,0.4776
2021-01-13 13:00:00,34575.5,1067.14,3.4322,0.0081403,15.1782,0.48746
2021-01-13 14:00:00,34260.7,1055.52,3.3816,0.00807,14.9843,0.48039
2021-01-13 15:00:00,34673.9,1071.5,3.5398,0.0081712,15.2016,0.49285
2021-01-13 16:00:00,34783.14,1073.3,3.4943,0.00815,15.6487,0.492
2021-01-13 17:00:00,34821.48,1074.14,3.479,0.0081394,15.8582,0.4969
2021-01-13 18:00:00,35719.36,1103.52,3.4824,0.0082641,15.7874,0.50001
2021-01-13 19:00:00,36002.25,1102.08,3.4831,0.008306,15.7305,0.49939
2021-01-13 20:00:00,36222.07,1110.9,3.5184,0.00837,15.78,0.49669
2021-01-13 21:00:00,37299.49,1126.84,3.4236,0.0085238,16.119,0.5042
2021-01-13 22:00:00,37203.87,1118.24,3.4813,0.0084918,15.8405,0.49698
2021-01-13 23:00:00,37371.38,1129.89,3.5242,0.0086738,15.9356,0.50223
2021-01-14 00:00:00,37762.76,1133.79,3.4436,0.0086015,16.0075,0.49272
2021-01-14 01:00:00,37451.13,1114.98,3.417,0.0084779,15.6005,0.48822
2021-01-14 02:00:00,37439.51,1113.34,3.4012,0.008462,15.639,0.49025
2021-01-14 03:00:00,37045.13,1096.39,3.3844,0.008455,15.5008,0.48452
2021-01-14 04:00:00,37504.0,1109.28,3.385,0.0083701,15.7862,0.5047
2021-01-14 05:00:00,37529.11,1109.86,3.3599,0.0083952,15.5668,0.50339
2021-01-14 06:00:00,37837.21,1121.19,3.4366,0.008619,15.7102,0.52698
2021-01-14 07:00:00,38198.34,1148.0,3.404,0.0086168,15.8215,0.53
2021-01-14 08:00:00,38370.01,1157.01,3.4184,0.0085592,15.6396,0.52046
