Data inizio,Data fine,Lunghezza periodo (giorni),Soldi in banca iniziali ($),Deposito iniziale ($),Investimento base,Strategia Giacomo,Percentuale ritiro eccesso,Tempo controllo,Strategia VA,Vendita VA,Prima VA,Tempo acquisto VA,Quantità VA,Liquidità cumulativa finale,Ricarica cumulativa finale,Deposito finale ($),Deposito + liquidità cumulativa finali ($),Bitcoin finali,Bitcoin finali ($),Deposito + bitcoin + liquidità cumulativa finali ($),Max delta neg su deposito + liquidità ($),Max delta pos su deposito + liquidità ($),Tasse pagate,Guadagno finale su deposito + bitcoin + liquidità cumulativa ($),Guadagno / max_delta_neg,Guadagno - max_delta_neg
2020-02-01,2021-11-01,639,99000,1000,901,True,0.9448899227575286,128,True,True,True,1,1000,92413.44287346498,4055798.4889014247,343986.2751867156,436399.71806018054,10.394998817826446,638999.9999999999,1075399.7180601803,94393.6842452537,760620.6929180258,16497.448968934725,1074401.5200601802,11.382133546866017,980007.8358149265
2020-02-01,2021-11-01,639,99000,1000,760,True,0.9016892858240814,612,True,True,False,1,1000,120755.98818697105,3401470.436073583,389353.1617235943,510109.14991056535,10.394998817826446,638999.9999999999,1149109.1499105652,93178.11063826211,560217.6366982325,14018.989199613747,1148110.6699105653,12.32167793536599,1054932.5592723032
2020-02-01,2021-11-01,639,99000,1000,238,True,0.954450037419214,312,True,False,True,1,1000,349636.44531964336,1128804.965695045,517809.78748983337,867446.2328094768,10.828600877142811,665654.3287554785,1533100.5615649554,58530.741302428185,1472354.9114424828,5166.996915263698,1532101.0375649554,26.176006034992678,1473570.2962625274
2020-02-01,2021-11-01,639,99000,1000,139,True,0.9451737645056237,412,True,True,True,1,1000,120127.62015306708,3242218.3926894455,387840.5648718131,507968.1850248802,10.394998817826446,638999.9999999999,1146968.18502488,93806.47867216614,834672.9146385052,13375.176832244324,1145968.46302488,12.216304025543888,1052161.984352714
2020-02-01,2021-11-01,639,99000,1000,660,True,0.9103751403941432,396,True,False,True,1,1000,333274.39720407466,868479.1390331225,361300.0121627163,694574.4093667909,17.883415210116627,1099326.9474612572,1793901.3568280484,58103.73436151432,1149193.708895634,3811.6563888518053,1792902.6768280484,30.85692677983187,1734798.9424665342
2020-02-01,2021-11-01,639,99000,1000,964,True,0.9974360187736442,226,True,False,True,1,1000,328145.5389863688,1238340.9506354963,472024.2882471671,800169.8272335359,17.883415210116627,1099326.9474612572,1899496.7746947932,57796.12746569011,1445667.0089604326,5501.110761915087,1898498.7026947932,32.84819910852698,1840702.5752291032
2020-02-01,2021-11-01,639,99000,1000,602,True,0.9273349868702906,149,True,True,True,1,1000,119624.89888112576,4210475.826442832,407928.4397269055,527553.3386080313,10.394998817826446,638999.9999999999,1166553.3386080312,95309.19994410734,919286.3902385895,17295.614037239913,1165554.542608031,12.22919238952329,1070245.3426639237
2020-02-01,2021-11-01,639,99000,1000,71,True,0.9910006509694759,254,True,True,False,1,1000,119058.81334742211,3607019.3011279977,388533.7385967224,507592.55194414454,10.394998817826446,638999.9999999999,1146592.5519441443,93875.28547781105,557701.0387318116,14838.420493158528,1145592.6939441443,12.203347112216493,1051717.4084663333
2020-02-01,2021-11-01,639,99000,1000,635,True,0.9684646428996065,20,True,True,True,1,1000,119841.29261125426,12353177.439230962,283436.4052602166,403277.6978714709,10.394998817826446,638999.9999999999,1042277.6978714707,79449.57862147485,966295.9189184093,49709.434213288754,1041278.9678714707,13.106160988373295,961829.3892499958
2020-02-01,2021-11-01,639,99000,1000,749,True,0.9610822557455088,371,True,False,True,1,1000,341364.4531702863,831358.4259101918,218952.70010139752,560317.1532716838,17.883415210116627,1099326.9474612572,1659644.100732941,58013.678395302624,944831.2047619121,3377.968593668201,1658645.5987329409,28.590595263258493,1600631.9203376381
